,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
75,config-0,web-spam.mtx,webgraph,,,2,4767.0,37375.0,19098.0,109711.0,4767.0,9564.0,11.63,133148,0
127,config-0,web-spam.mtx,webgraph,,,3,4767.0,37375.0,20697.0,116073.0,4767.0,11163.0,11.83,134016,0
179,config-0,web-spam.mtx,webgraph,,,4,4767.0,37375.0,22548.0,122434.0,4767.0,13014.0,12.15,137260,0
231,config-0,web-spam.mtx,webgraph,,,6,4767.0,37375.0,29295.0,132051.0,4767.0,19761.0,11.4,138688,0
283,config-0,web-spam.mtx,webgraph,,,8,4767.0,37375.0,32710.0,140770.0,4767.0,23176.0,11.38,140048,0
335,config-0,web-spam.mtx,webgraph,,,10,4767.0,37375.0,36546.0,149233.0,4767.0,27012.0,11.66,141356,0
387,config-0,web-spam.mtx,webgraph,,,12,4767.0,37375.0,39676.0,155490.0,4767.0,30142.0,11.21,142304,0
439,config-0,web-spam.mtx,webgraph,,,16,4767.0,37375.0,47487.0,167416.0,4767.0,37953.0,11.89,147268,0
20,config-0,web-webbase-2001.mtx,webgraph,,,1,16062.0,25593.0,32452.0,116070.0,16062.0,328.0,6.03,146104,0
72,config-0,web-webbase-2001.mtx,webgraph,,,2,16062.0,25593.0,80304.0,179668.0,16062.0,48180.0,6.96,162820,0
124,config-0,web-webbase-2001.mtx,webgraph,,,3,16062.0,25593.0,96360.0,211779.0,16062.0,64236.0,7.47,168300,0
176,config-0,web-webbase-2001.mtx,webgraph,,,4,16062.0,25593.0,112414.0,243886.0,16062.0,80290.0,7.84,185688,0
228,config-0,web-webbase-2001.mtx,webgraph,,,6,16062.0,25593.0,144516.0,308088.0,16062.0,112392.0,8.75,202988,0
280,config-0,web-webbase-2001.mtx,webgraph,,,8,16062.0,25593.0,176610.0,372274.0,16062.0,144486.0,9.78,223176,0
332,config-0,web-webbase-2001.mtx,webgraph,,,10,16062.0,25593.0,208696.0,436444.0,16062.0,176572.0,11.32,265800,0
384,config-0,web-webbase-2001.mtx,webgraph,,,12,16062.0,25593.0,240774.0,500598.0,16062.0,208650.0,11.39,283840,0
436,config-0,web-webbase-2001.mtx,webgraph,,,16,16062.0,25593.0,304906.0,628858.0,16062.0,272782.0,14.01,323632,0
