,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
323,config-0,power-685-bus.mtx,power,,,10,685.0,1967.0,5259.0,13210.0,685.0,3889.0,16.39,84860,0
375,config-0,power-685-bus.mtx,power,,,12,685.0,1967.0,5688.0,14101.0,685.0,4318.0,17.27,86952,0
427,config-0,power-685-bus.mtx,power,,,16,685.0,1967.0,6786.0,15771.0,685.0,5416.0,20.19,85484,0
13,config-0,power-US-Grid.mtx,power,,,1,4941.0,6594.0,10057.0,33362.0,4941.0,175.0,10.01,100532,0
65,config-0,power-US-Grid.mtx,power,,,2,4941.0,6594.0,19812.0,49431.0,4941.0,9930.0,17.27,104152,0
117,config-0,power-US-Grid.mtx,power,,,3,4941.0,6594.0,21475.0,56031.0,4941.0,11593.0,17.97,104488,0
169,config-0,power-US-Grid.mtx,power,,,4,4941.0,6594.0,23390.0,62630.0,4941.0,13508.0,21.62,107856,0
221,config-0,power-US-Grid.mtx,power,,,6,4941.0,6594.0,30567.0,72500.0,4941.0,20685.0,19.88,110180,0
273,config-0,power-US-Grid.mtx,power,,,8,4941.0,6594.0,34143.0,81587.0,4941.0,24261.0,18.69,112040,0
325,config-0,power-US-Grid.mtx,power,,,10,4941.0,6594.0,37955.0,90378.0,4941.0,28073.0,17.23,114144,0
377,config-0,power-US-Grid.mtx,power,,,12,4941.0,6594.0,41378.0,96840.0,4941.0,31496.0,16.65,117324,0
429,config-0,power-US-Grid.mtx,power,,,16,4941.0,6594.0,49366.0,109451.0,4941.0,39484.0,29.3,123580,0
10,config-0,power-bcspwr09.mtx,power,,,1,1723.0,4117.0,3556.0,11920.0,1723.0,110.0,2.5,90852,0
62,config-0,power-bcspwr09.mtx,power,,,2,1723.0,4117.0,6894.0,17417.0,1723.0,3448.0,2.99,91604,0
114,config-0,power-bcspwr09.mtx,power,,,3,1723.0,4117.0,7469.0,19711.0,1723.0,4023.0,3.35,91920,0
166,config-0,power-bcspwr09.mtx,power,,,4,1723.0,4117.0,8168.0,22004.0,1723.0,4722.0,3.41,92240,0
218,config-0,power-bcspwr09.mtx,power,,,6,1723.0,4117.0,10623.0,25438.0,1723.0,7177.0,3.2,94740,0
270,config-0,power-bcspwr09.mtx,power,,,8,1723.0,4117.0,11895.0,28587.0,1723.0,8449.0,3.44,95168,0
322,config-0,power-bcspwr09.mtx,power,,,10,1723.0,4117.0,13259.0,31660.0,1723.0,9813.0,3.41,95592,0
374,config-0,power-bcspwr09.mtx,power,,,12,1723.0,4117.0,14312.0,33912.0,1723.0,10866.0,3.41,93860,0
426,config-0,power-bcspwr09.mtx,power,,,16,1723.0,4117.0,17264.0,38341.0,1723.0,13818.0,3.65,96556,0
9,config-0,power-eris1176.mtx,power,,,1,1176.0,9864.0,2445.0,22278.0,1176.0,93.0,5.63,90724,0
61,config-0,power-eris1176.mtx,power,,,2,1176.0,9864.0,4717.0,26000.0,1176.0,2365.0,7.8,91240,0
113,config-0,power-eris1176.mtx,power,,,3,1176.0,9864.0,5116.0,27571.0,1176.0,2764.0,7.96,91456,0
165,config-0,power-eris1176.mtx,power,,,4,1176.0,9864.0,5567.0,29133.0,1176.0,3215.0,8.53,91664,0
217,config-0,power-eris1176.mtx,power,,,6,1176.0,9864.0,7243.0,31489.0,1176.0,4891.0,7.8,91976,0
