,config_enc,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime_enc,max_res_set_size_enc,exit_status_enc,config_solve,timeout,memory_limit,utime_solve,stime,wtime,max_res_set_size_solve,exit_status_solve,signal,optimised_value,arjun_time,encoding_t/o,encoding_m/o,solving_m/o,solving_t/o,other_error
325,config-0,ca-Erdos992.mtx,collaboration,,,10,6100.0,7515.0,79190.0,161200.0,6100.0,66990.0,24.18,139328,0,config-0,7200.0,4000000.0,444.06,0.26,7:24,151676.0,0.0,,11696.0,444.05,False,False,False,False,False
375,config-0,ca-Erdos992.mtx,collaboration,,,12,6100.0,7515.0,91344.0,185506.0,6100.0,79144.0,26.54,147388,0,config-0,7200.0,4000000.0,399.91,0.11,6:40,130188.0,0.0,,11766.0,399.90,False,False,False,False,False
425,config-0,ca-Erdos992.mtx,collaboration,,,16,6100.0,7515.0,115628.0,234070.0,6100.0,103428.0,31.26,173460,0,config-0,7200.0,4000000.0,620.74,0.17,10:21,144132.0,0.0,,11920.0,620.72,False,False,False,False,False
23,config-0,ca-GrQc.mtx,collaboration,,,1,4158.0,13422.0,8478.0,43854.0,4158.0,162.0,15.93,105896,0,config-0,7200.0,4000000.0,30.7,0.04,0:30,15048.0,0.0,,4186.0,30.70,False,False,False,False,False
73,config-0,ca-GrQc.mtx,collaboration,,,2,4158.0,13422.0,16693.0,57350.0,4158.0,8377.0,17.61,108932,0,config-0,7200.0,4000000.0,57.69,0.11,0:58,22604.0,0.0,,6228.0,57.69,False,False,False,False,False
123,config-0,ca-GrQc.mtx,collaboration,,,3,4158.0,13422.0,18100.0,62911.0,4158.0,9784.0,15.61,109808,0,config-0,7200.0,4000000.0,62.72,0.04,1:02,26852.0,0.0,,7134.0,62.72,False,False,False,False,False
173,config-0,ca-GrQc.mtx,collaboration,,,4,4158.0,13422.0,19757.0,68469.0,4158.0,11441.0,25.23,107268,0,config-0,7200.0,4000000.0,79.75,0.09,1:19,40876.0,0.0,,7606.0,79.75,False,False,False,False,False
223,config-0,ca-GrQc.mtx,collaboration,,,6,4158.0,13422.0,25769.0,76775.0,4158.0,17453.0,28.51,111928,0,config-0,7200.0,4000000.0,199.31,0.11,3:19,85972.0,0.0,,8024.0,199.31,False,False,False,False,False
273,config-0,ca-GrQc.mtx,collaboration,,,8,4158.0,13422.0,28829.0,84437.0,4158.0,20513.0,28.14,113792,0,config-0,7200.0,4000000.0,256.4,0.5,4:17,97876.0,0.0,,8212.0,256.39,False,False,False,False,False
323,config-0,ca-GrQc.mtx,collaboration,,,10,4158.0,13422.0,32029.0,91775.0,4158.0,23713.0,30.71,115408,0,config-0,7200.0,4000000.0,174.45,0.15,2:54,63564.0,0.0,,8282.0,174.44,False,False,False,False,False
373,config-0,ca-GrQc.mtx,collaboration,,,12,4158.0,13422.0,34827.0,97262.0,4158.0,26511.0,28.33,117676,0,config-0,7200.0,4000000.0,178.85,0.14,2:59,71044.0,0.0,,8294.0,178.84,False,False,False,False,False
423,config-0,ca-GrQc.mtx,collaboration,,,16,4158.0,13422.0,41579.0,107904.0,4158.0,33263.0,29.05,119444,0,config-0,7200.0,4000000.0,135.12,0.08,2:15,66860.0,0.0,,8314.0,135.11,False,False,False,False,False
24,config-0,ca-citeseer.mtx,collaboration,,,1,227320.0,814134.0,455722.0,2539712.0,227320.0,1082.0,391.25,1579048,0,config-0,7200.0,4000000.0,7197.99,1.0,2:00:00,684852.0,124.0,,-1.0,,False,False,False,True,False
74,config-0,ca-citeseer.mtx,collaboration,,,2,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,495.62,2595336,0,config-0,7200.0,4000000.0,7169.89,15.64,2:00:00,1640572.0,124.0,,-1.0,,False,False,False,True,False
124,config-0,ca-citeseer.mtx,collaboration,,,3,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,464.54,2538052,0,config-0,7200.0,4000000.0,7198.59,0.74,2:00:00,2071128.0,124.0,,-1.0,,False,False,False,True,False
174,config-0,ca-citeseer.mtx,collaboration,,,4,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,466.84,2595348,0,config-0,7200.0,4000000.0,7161.02,12.38,2:00:00,2776044.0,124.0,,-1.0,,False,False,False,True,False
224,config-0,ca-citeseer.mtx,collaboration,,,6,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,901.17,2594748,0,config-0,7200.0,4000000.0,3809.14,1.5,1:03:34,2618424.0,139.0,,-1.0,,False,False,False,False,True
274,config-0,ca-citeseer.mtx,collaboration,,,8,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,537.25,2595344,0,config-0,7200.0,4000000.0,2506.55,1.11,41:47,3281820.0,134.0,,-1.0,,False,False,False,False,True
324,config-0,ca-citeseer.mtx,collaboration,,,10,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,473.46,2595304,0,config-0,7200.0,4000000.0,855.94,1.02,14:18,2588856.0,139.0,,-1.0,,False,False,False,False,True
374,config-0,ca-citeseer.mtx,collaboration,,,12,227320.0,814134.0,909254.0,6628999.0,227320.0,454614.0,466.67,2595332,0,config-0,7200.0,4000000.0,1853.46,1.58,30:59,2792580.0,139.0,,-1.0,,False,False,False,False,True
424,config-0,ca-citeseer.mtx,collaboration,,,16,227320.0,814134.0,909254.0,6629000.0,227320.0,454614.0,465.96,2595324,0,config-0,7200.0,4000000.0,3283.62,3.68,54:51,3166996.0,139.0,,-1.0,,False,False,False,False,True
26,config-0,ca-dblp-2010.mtx,collaboration,,,1,226413.0,716460.0,453906.0,2340732.0,226413.0,1080.0,273.3,1401384,0,config-0,7200.0,4000000.0,7198.97,0.47,2:00:00,678348.0,124.0,,-1.0,,False,False,False,True,False
76,config-0,ca-dblp-2010.mtx,collaboration,,,2,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,709.6,2425696,0,config-0,7200.0,4000000.0,7197.56,2.06,2:00:00,1606420.0,124.0,,-1.0,,False,False,False,True,False
126,config-0,ca-dblp-2010.mtx,collaboration,,,3,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,443.11,2431828,0,config-0,7200.0,4000000.0,7198.26,1.04,2:00:00,1596356.0,124.0,,-1.0,,False,False,False,True,False
176,config-0,ca-dblp-2010.mtx,collaboration,,,4,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,409.96,2431836,0,config-0,7200.0,4000000.0,7190.04,6.39,2:00:00,2219660.0,124.0,,-1.0,,False,False,False,True,False
226,config-0,ca-dblp-2010.mtx,collaboration,,,6,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,394.48,2425688,0,config-0,7200.0,4000000.0,7189.39,3.19,2:00:00,3291580.0,124.0,,-1.0,,False,False,False,True,False
276,config-0,ca-dblp-2010.mtx,collaboration,,,8,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,388.68,2425688,0,config-0,7200.0,4000000.0,1838.31,1.58,30:40,3234756.0,139.0,,-1.0,,False,False,False,False,True
326,config-0,ca-dblp-2010.mtx,collaboration,,,10,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,397.35,2431828,0,config-0,7200.0,4000000.0,1334.18,1.1,22:17,2623656.0,139.0,,-1.0,,False,False,False,False,True
376,config-0,ca-dblp-2010.mtx,collaboration,,,12,226413.0,716460.0,905630.0,6413711.0,226413.0,452804.0,383.79,2425696,0,config-0,7200.0,4000000.0,1949.95,1.13,32:31,2947572.0,139.0,,-1.0,,False,False,False,False,True
426,config-0,ca-dblp-2010.mtx,collaboration,,,16,226413.0,716460.0,905630.0,6413712.0,226413.0,452804.0,382.29,2425692,0,config-0,7200.0,4000000.0,2498.38,2.27,41:41,2995448.0,139.0,,-1.0,,False,False,False,False,True
28,config-0,ca-netscience.mtx,collaboration,,,1,379.0,914.0,815.0,3454.0,379.0,57.0,2.93,48828,0,config-0,7200.0,4000000.0,0.15,0.01,0:00,2832.0,0.0,,370.0,0.15,False,False,False,False,False
78,config-0,ca-netscience.mtx,collaboration,,,2,379.0,914.0,1517.0,4601.0,379.0,759.0,3.77,48828,0,config-0,7200.0,4000000.0,0.16,0.02,0:00,3340.0,0.0,,628.0,0.16,False,False,False,False,False
128,config-0,ca-netscience.mtx,collaboration,,,3,379.0,914.0,1644.0,5103.0,379.0,886.0,3.72,48828,0,config-0,7200.0,4000000.0,0.19,0.0,0:00,3464.0,0.0,,696.0,0.19,False,False,False,False,False
178,config-0,ca-netscience.mtx,collaboration,,,4,379.0,914.0,1782.0,5603.0,379.0,1024.0,2.5,48836,0,config-0,7200.0,4000000.0,0.21,0.03,0:00,3748.0,0.0,,728.0,0.21,False,False,False,False,False
228,config-0,ca-netscience.mtx,collaboration,,,6,379.0,914.0,2334.0,6350.0,379.0,1576.0,2.7,48836,0,config-0,7200.0,4000000.0,0.25,0.02,0:00,4060.0,0.0,,752.0,0.25,False,False,False,False,False
278,config-0,ca-netscience.mtx,collaboration,,,8,379.0,914.0,2596.0,7034.0,379.0,1838.0,3.49,48836,0,config-0,7200.0,4000000.0,0.26,0.02,0:00,4200.0,0.0,,756.0,0.26,False,False,False,False,False
328,config-0,ca-netscience.mtx,collaboration,,,10,379.0,914.0,2898.0,7691.0,379.0,2140.0,3.77,48840,0,config-0,7200.0,4000000.0,0.27,0.02,0:00,4412.0,0.0,,756.0,0.28,False,False,False,False,False
378,config-0,ca-netscience.mtx,collaboration,,,12,379.0,914.0,3173.0,8171.0,379.0,2415.0,3.51,48832,0,config-0,7200.0,4000000.0,0.29,0.02,0:00,4568.0,0.0,,756.0,0.29,False,False,False,False,False
428,config-0,ca-netscience.mtx,collaboration,,,16,379.0,914.0,3755.0,9090.0,379.0,2997.0,4.43,48832,0,config-0,7200.0,4000000.0,0.32,0.01,0:00,4968.0,0.0,,758.0,0.32,False,False,False,False,False
27,config-0,ca-sandi_auths.mtx,collaboration,,,1,86.0,124.0,198.0,657.0,86.0,26.0,4.68,84212,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,1884.0,0.0,,88.0,0.01,False,False,False,False,False
77,config-0,ca-sandi_auths.mtx,collaboration,,,2,86.0,124.0,342.0,871.0,86.0,170.0,15.6,84256,0,config-0,7200.0,4000000.0,0.0,0.0,0:00,2008.0,0.0,,130.0,0.01,False,False,False,False,False
127,config-0,ca-sandi_auths.mtx,collaboration,,,3,86.0,124.0,370.0,981.0,86.0,198.0,14.56,84256,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2036.0,0.0,,154.0,0.02,False,False,False,False,False
177,config-0,ca-sandi_auths.mtx,collaboration,,,4,86.0,124.0,398.0,1090.0,86.0,226.0,14.53,84264,0,config-0,7200.0,4000000.0,0.02,0.03,0:00,2072.0,0.0,,160.0,0.01,False,False,False,False,False
227,config-0,ca-sandi_auths.mtx,collaboration,,,6,86.0,124.0,517.0,1251.0,86.0,345.0,14.68,84296,0,config-0,7200.0,4000000.0,0.01,0.02,0:00,2172.0,0.0,,164.0,0.01,False,False,False,False,False
277,config-0,ca-sandi_auths.mtx,collaboration,,,8,86.0,124.0,570.0,1394.0,86.0,398.0,13.72,84336,0,config-0,7200.0,4000000.0,0.01,0.01,0:00,2216.0,0.0,,170.0,0.02,False,False,False,False,False
327,config-0,ca-sandi_auths.mtx,collaboration,,,10,86.0,124.0,640.0,1531.0,86.0,468.0,4.98,84360,0,config-0,7200.0,4000000.0,0.02,0.0,0:00,2300.0,0.0,,172.0,0.02,False,False,False,False,False
377,config-0,ca-sandi_auths.mtx,collaboration,,,12,86.0,124.0,688.0,1630.0,86.0,516.0,4.71,84384,0,config-0,7200.0,4000000.0,0.01,0.0,0:00,2284.0,0.0,,172.0,0.01,False,False,False,False,False
427,config-0,ca-sandi_auths.mtx,collaboration,,,16,86.0,124.0,801.0,1808.0,86.0,629.0,4.91,84428,0,config-0,7200.0,4000000.0,0.01,0.01,0:00,2360.0,0.0,,172.0,0.02,False,False,False,False,False
5,config-0,inf-USAir97.mtx,infrastructure,,,1,332.0,2126.0,719.0,5686.0,332.0,55.0,11.78,83272,0,config-0,7200.0,4000000.0,0.22,0.01,0:00,3716.0,0.0,,264.0,0.22,False,False,False,False,False
55,config-0,inf-USAir97.mtx,infrastructure,,,2,332.0,2126.0,1329.0,6680.0,332.0,665.0,21.05,85464,0,config-0,7200.0,4000000.0,0.19,0.01,0:00,3564.0,0.0,,568.0,0.19,False,False,False,False,False
105,config-0,inf-USAir97.mtx,infrastructure,,,3,332.0,2126.0,1440.0,7119.0,332.0,776.0,23.68,83496,0,config-0,7200.0,4000000.0,0.21,0.01,0:00,3664.0,0.0,,618.0,0.22,False,False,False,False,False
155,config-0,inf-USAir97.mtx,infrastructure,,,4,332.0,2126.0,1563.0,7557.0,332.0,899.0,20.55,83556,0,config-0,7200.0,4000000.0,0.21,0.01,0:00,3768.0,0.0,,626.0,0.22,False,False,False,False,False
205,config-0,inf-USAir97.mtx,infrastructure,,,6,332.0,2126.0,2043.0,8209.0,332.0,1379.0,18.98,83652,0,config-0,7200.0,4000000.0,0.21,0.02,0:00,4024.0,0.0,,642.0,0.22,False,False,False,False,False
255,config-0,inf-USAir97.mtx,infrastructure,,,8,332.0,2126.0,2275.0,8807.0,332.0,1611.0,17.87,83748,0,config-0,7200.0,4000000.0,0.26,0.01,0:00,4248.0,0.0,,652.0,0.26,False,False,False,False,False
305,config-0,inf-USAir97.mtx,infrastructure,,,10,332.0,2126.0,2519.0,9383.0,332.0,1855.0,16.81,83832,0,config-0,7200.0,4000000.0,0.24,0.01,0:00,4368.0,0.0,,654.0,0.25,False,False,False,False,False
355,config-0,inf-USAir97.mtx,infrastructure,,,12,332.0,2126.0,2777.0,9800.0,332.0,2113.0,15.13,83896,0,config-0,7200.0,4000000.0,0.31,0.01,0:00,4696.0,0.0,,660.0,0.31,False,False,False,False,False
405,config-0,inf-USAir97.mtx,infrastructure,,,16,332.0,2126.0,3287.0,10600.0,332.0,2623.0,12.93,84060,0,config-0,7200.0,4000000.0,0.42,0.02,0:00,5600.0,0.0,,662.0,0.42,False,False,False,False,False
10,config-0,power-1138-bus.mtx,power,,,1,1138.0,2596.0,2368.0,7664.0,1138.0,92.0,2.5,83980,0,config-0,7200.0,4000000.0,1.5,0.02,0:01,4948.0,0.0,,1148.0,1.50,False,False,False,False,False
60,config-0,power-1138-bus.mtx,power,,,2,1138.0,2596.0,4563.0,11258.0,1138.0,2287.0,4.49,86648,0,config-0,7200.0,4000000.0,1.71,0.01,0:01,6536.0,0.0,,1558.0,1.71,False,False,False,False,False
110,config-0,power-1138-bus.mtx,power,,,3,1138.0,2596.0,4946.0,12775.0,1138.0,2670.0,4.4,87068,0,config-0,7200.0,4000000.0,2.08,0.02,0:02,6968.0,0.0,,1884.0,2.08,False,False,False,False,False
160,config-0,power-1138-bus.mtx,power,,,4,1138.0,2596.0,5389.0,14291.0,1138.0,3113.0,4.01,87052,0,config-0,7200.0,4000000.0,2.1,0.01,0:02,7460.0,0.0,,2074.0,2.10,False,False,False,False,False
210,config-0,power-1138-bus.mtx,power,,,6,1138.0,2596.0,7035.0,16555.0,1138.0,4759.0,3.8,87948,0,config-0,7200.0,4000000.0,2.61,0.03,0:02,8460.0,0.0,,2220.0,2.61,False,False,False,False,False
